                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5983,                 7.0801,                 2.8953,                 0.0025,                0.01173,                0.00144,                0.00081,                 5.5998,                 7.1848,                 2.9789,                  4e-05,                  4e-05,                  4e-05
                      2,                 5.4421,                   7.04,                  2.872,                 0.0025,                0.01173,                0.00144,                0.00081,                 5.5992,                 7.1837,                 2.9624,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 5.5741,                 7.0926,                  2.896,                0.00306,                0.01434,                0.00163,                0.00083,                 5.2109,                 7.1392,                 2.6909,             0.00015366,             0.00015366,             0.00015366
                      4,                 4.9186,                 6.7739,                 2.4631,                0.00556,                0.02608,                0.00971,                0.00491,                 4.5966,                 6.8449,                  2.227,             0.00020693,             0.00020693,             0.00020693
                      5,                 4.4576,                 6.2474,                  2.193,                0.00722,                 0.0339,                0.01199,                0.00532,                  4.632,                  6.828,                 2.2189,             0.00025782,             0.00025782,             0.00025782
                      6,                 4.3899,                 5.6212,                   2.14,                0.01194,                0.05606,                0.02217,                0.01096,                 4.5821,                 6.7331,                 2.1201,             0.00030634,             0.00030634,             0.00030634
                      7,                 4.4974,                 5.3586,                 2.1096,                0.01083,                0.05085,                0.02214,                0.01023,                 4.7428,                 6.7125,                 2.1251,             0.00035248,             0.00035248,             0.00035248
                      8,                 4.3655,                 4.9556,                 2.1238,                0.01056,                0.04954,                0.02516,                0.01043,                 4.7373,                 6.6663,                 2.1312,             0.00039624,             0.00039624,             0.00039624
                      9,                 4.4695,                 4.7059,                 2.1307,                0.01111,                0.05215,                0.02449,                0.01115,                 4.7167,                 6.5412,                  2.122,             0.00043763,             0.00043763,             0.00043763
                     10,                 4.6287,                 4.3686,                 2.0676,                   0.01,                0.04694,                0.02101,                0.01024,                 4.7746,                 6.5014,                 2.1314,             0.00047664,             0.00047664,             0.00047664
                     11,                 4.3854,                 4.0132,                 2.0312,                0.00944,                0.04433,                0.01957,                0.01256,                 4.7945,                 6.4074,                 2.1257,             0.00051328,             0.00051328,             0.00051328
                     12,                 4.4138,                 3.8239,                 2.0519,                0.00889,                0.04172,                0.02561,                0.01425,                 4.5322,                 6.3929,                  2.072,             0.00054754,             0.00054754,             0.00054754
                     13,                 4.4949,                 3.6349,                 2.0469,                   0.01,                0.04694,                 0.0151,                0.00949,                 4.5305,                  6.262,                 2.0684,             0.00057942,             0.00057942,             0.00057942
                     14,                 4.4253,                 3.3964,                 2.0213,                0.01194,                0.05606,                0.01753,                0.01086,                 4.5488,                 6.2217,                 2.0749,             0.00060893,             0.00060893,             0.00060893
                     15,                 4.4235,                 3.3659,                 2.0496,                 0.0175,                0.08214,                0.02954,                0.01429,                 4.6683,                 5.9949,                 2.0794,             0.00063606,             0.00063606,             0.00063606
                     16,                 4.3145,                 3.1975,                 2.0322,                0.01361,                0.06389,                0.02524,                0.01328,                 4.8419,                 5.9489,                 2.0999,             0.00066082,             0.00066082,             0.00066082
                     17,                 4.3537,                 3.2539,                 2.0436,                0.01889,                0.08866,                0.03041,                0.01419,                 4.8514,                 5.8768,                 2.1002,              0.0006832,              0.0006832,              0.0006832
                     18,                  4.346,                 3.1491,                 2.0225,                0.01833,                0.08605,                 0.0273,                0.01437,                 4.8199,                 5.8509,                 2.0991,              0.0007032,              0.0007032,              0.0007032
                     19,                 4.2836,                 3.1136,                 2.0203,                0.02056,                0.09648,                0.04129,                0.01956,                 4.8703,                 5.7473,                 2.0974,             0.00072083,             0.00072083,             0.00072083
                     20,                 4.1672,                 3.0851,                 2.0038,                0.02583,                0.12125,                0.05659,                0.02583,                 4.8537,                 5.6445,                 2.0919,             0.00073608,             0.00073608,             0.00073608
                     21,                  4.119,                 3.0557,                 2.0165,                0.02806,                0.13168,                0.06022,                0.02714,                 5.1644,                  5.547,                 2.1482,             0.00074896,             0.00074896,             0.00074896
                     22,                 4.1954,                 2.9078,                 1.9739,                0.02556,                0.11995,                0.05372,                0.02448,                 5.4887,                  5.473,                 2.2037,             0.00075946,             0.00075946,             0.00075946
                     23,                 4.1799,                 2.9756,                 1.9863,                0.03028,                0.14211,                0.06174,                 0.0249,                 5.4789,                 5.3788,                 2.2107,             0.00076758,             0.00076758,             0.00076758
                     24,                 4.2014,                 2.9145,                  1.977,                0.03361,                0.15776,                0.07319,                0.02833,                 5.3729,                 5.2705,                 2.2068,             0.00077333,             0.00077333,             0.00077333
                     25,                 4.0678,                 2.9288,                  1.963,                0.03444,                0.16167,                0.07048,                0.02757,                 5.4953,                 5.2181,                 2.2508,              0.0007767,              0.0007767,              0.0007767
                     26,                 4.1311,                 2.8865,                 1.9702,                0.03778,                0.17731,                0.08187,                0.03325,                 5.2827,                 5.1083,                 2.2008,              0.0007777,              0.0007777,              0.0007777
                     27,                 4.0918,                 2.9216,                 1.9805,                0.04667,                0.21904,                0.09548,                0.03927,                 4.8672,                 4.9754,                 2.1378,             0.00077632,             0.00077632,             0.00077632
                     28,                 4.0254,                 2.8891,                 1.9928,                0.06361,                0.29857,                0.12837,                0.05056,                 4.6345,                 4.7995,                 2.0947,             0.00077256,             0.00077256,             0.00077256
                     29,                  4.201,                 2.8168,                 1.9497,                0.06361,                0.29857,                0.12837,                0.05056,                 4.6345,                 4.7995,                 2.0947,             0.00076643,             0.00076643,             0.00076643
                     30,                 4.1646,                 2.7845,                  1.975,                0.08306,                0.38983,                 0.1605,                0.06085,                 4.6376,                 4.6546,                 2.1167,             0.00075792,             0.00075792,             0.00075792
                     31,                 4.1827,                 2.8365,                 1.9534,                0.10361,                0.48631,                0.21097,                0.07786,                  4.458,                 4.4834,                 2.1248,             0.00074704,             0.00074704,             0.00074704
                     32,                 4.1471,                 2.8241,                 1.9598,                0.11167,                0.52412,                0.23649,                0.09002,                 4.2554,                 4.3614,                 2.0865,             0.00073378,             0.00073378,             0.00073378
                     33,                 4.2497,                 2.9625,                 1.9766,                0.11167,                0.52412,                0.23649,                0.09002,                 4.2554,                 4.3614,                 2.0865,             0.00071814,             0.00071814,             0.00071814
                     34,                 4.0489,                 2.8011,                 1.9451,                0.11167,                0.52412,                0.23848,                0.09125,                 4.3123,                 4.3013,                 2.0888,              0.0006932,              0.0006932,              0.0006932
                     35,                 4.0922,                 2.8017,                 1.9634,                0.11889,                0.55802,                0.25616,                0.09933,                 4.3156,                  4.237,                 2.0889,              0.0006536,              0.0006536,              0.0006536
                     36,                  4.218,                  2.811,                 1.9655,                0.13167,                0.61799,                0.29611,                0.11624,                 4.2404,                  4.107,                 2.0843,               0.000614,               0.000614,               0.000614
                     37,                 4.0086,                 2.7769,                 1.9965,                0.13167,                0.61799,                0.29611,                0.11624,                 4.2404,                  4.107,                 2.0843,              0.0005744,              0.0005744,              0.0005744
                     38,                 4.0975,                 2.8396,                  1.997,                0.14361,                0.67405,                0.33696,                0.12979,                 4.1386,                 3.9644,                 2.0751,              0.0005348,              0.0005348,              0.0005348
                     39,                 4.1492,                 2.7668,                 1.9825,                0.25762,                0.62321,                0.35374,                0.13974,                 4.1223,                 3.8353,                 2.0675,              0.0004952,              0.0004952,              0.0004952
                     40,                  3.956,                 2.7519,                 1.9722,                0.39252,                0.47588,                0.37892,                0.15244,                 4.1144,                 3.6882,                 2.0666,              0.0004556,              0.0004556,              0.0004556
                     41,                 4.0948,                 3.3082,                 1.9671,                0.39252,                0.47588,                0.37892,                0.15244,                 4.1144,                 3.6882,                 2.0666,               0.000416,               0.000416,               0.000416
                     42,                 4.0193,                 3.1921,                 1.9596,                0.44108,                0.41591,                0.39385,                0.16032,                 4.0471,                  3.593,                 2.0627,              0.0003764,              0.0003764,              0.0003764
                     43,                 3.9557,                 3.1096,                 1.9775,                0.45917,                0.41288,                0.39669,                0.16636,                 4.0377,                 3.4724,                 2.0615,              0.0003368,              0.0003368,              0.0003368
                     44,                 4.0667,                 3.2711,                 1.9631,                0.48277,                0.40548,                0.39752,                0.16719,                  4.024,                 3.4154,                 2.0543,              0.0002972,              0.0002972,              0.0002972
                     45,                 3.9263,                 2.9687,                 1.9495,                0.48277,                0.40548,                0.39752,                0.16719,                  4.024,                 3.4154,                 2.0543,              0.0002576,              0.0002576,              0.0002576
                     46,                 3.8153,                 2.9825,                 1.9452,                0.46209,                0.39765,                0.39052,                 0.1672,                 4.0309,                 3.3699,                 2.0604,               0.000218,               0.000218,               0.000218
                     47,                 3.8907,                 2.9364,                 1.9407,                0.46682,                0.41199,                0.40194,                0.16679,                 4.0262,                 3.3456,                 2.0621,              0.0001784,              0.0001784,              0.0001784
                     48,                 3.9546,                 2.9458,                 1.9239,                0.46912,                0.42373,                 0.4145,                 0.1701,                 4.0146,                  3.332,                 2.0559,              0.0001388,              0.0001388,              0.0001388
                     49,                 3.9083,                 2.9882,                 1.9184,                0.46912,                0.42373,                 0.4145,                 0.1701,                 4.0146,                  3.332,                 2.0559,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 3.8105,                 2.9638,                 1.9169,                0.46424,                0.43608,                0.41921,                0.17245,                 4.0077,                 3.2972,                 2.0604,               5.96e-05,               5.96e-05,               5.96e-05
